"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"amenity/police","amenity","police"," ","Police","Police","警察局",3," "," "," ","badge,constable,constabulary,cop,detective,fed,law,enforcement,officer,patrol"," ",0," ","police"," ","operator,address,building_area"," "," ","amenity=police"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/post_box","amenity","post_box"," ","Mailbox","Mailbox","邮箱",2," "," "," ","letter,post"," ",0," ","post"," ","operator,collection_times"," "," ","amenity=post_box"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/post_office","amenity","post_office"," ","Post Office","Post Office","邮局",2," "," "," ","letter,mail"," ",0," ","post"," ","operator,address,building_area,collection_times"," "," ","amenity=post_office"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/pub","amenity","pub"," ","Pub","Pub","酒馆",2," "," "," ","dive,beer,bier,booze"," ",0," ","beer"," ","address,building_area,opening_hours,smoking"," "," ","amenity=pub"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/public_bookcase","amenity","public_bookcase"," ","Public Bookcase","Public Bookcase"," ",0," "," ","notTranslated","library,bookcrossing"," ",0," ","library"," ","name,operator,capacity,website"," "," ","amenity=public_bookcase"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/ranger_station","amenity","ranger_station"," ","Ranger Station","Ranger Station"," ",0," "," ","notTranslated","visitor center,visitor centre,permit center,permit centre,backcountry office,warden office,warden center"," ",0," "," "," ","operator,address,building_area,opening_hours"," "," ","amenity=ranger_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/recycling","amenity","recycling"," ","Recycling","Recycling"," ",0," "," ","notTranslated","can,bottle,garbage,scrap,trash"," ",0," ","recycling"," ","operator,address,recycling/cans,recycling/glass,recycling/paper,recycling/clothes"," "," ","amenity=recycling"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/register_office","amenity","register_office"," ","Register Office","Register Office"," ",0," "," ","notTranslated",""," ",0," ","town-hall"," ","address,building_area,opening_hours,operator"," "," ","amenity=register_office"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/restaurant","amenity","restaurant"," ","Restaurant","Restaurant","餐馆",2," "," "," ","bar,breakfast,cafe,café,canteen,coffee,dine,dining,dinner,drive-in,eat,grill,lunch,table"," ",0," ","restaurant"," ","cuisine,address,building_area,opening_hours,capacity,takeaway,delivery,smoking"," "," ","amenity=restaurant"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/school","amenity","school"," ","School Grounds","School Grounds"," ",0," "," ","notTranslated","academy,elementary school,middle school,high school"," ",0," ","school"," ","operator,address"," "," ","amenity=school"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/shelter","amenity","shelter"," ","Shelter","Shelter"," ",0," "," ","notTranslated","lean-to,gazebo,picnic"," ",0," "," "," ","shelter_type"," "," ","amenity=shelter"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/social_facility","amenity","social_facility"," ","Social Facility","Social Facility"," ",0," "," ","notTranslated",""," ",0," "," "," ","operator,address,building_area,opening_hours,wheelchair,social_facility_for"," "," ","amenity=social_facility"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/social_facility/food_bank","amenity","social_facility","food_bank","Food Bank","Food Bank"," ",0," "," ","notTranslated",""," ",0," "," "," ","operator,address,building_area,opening_hours,social_facility_for"," "," ","amenity=social_facility","social_facility=food_bank"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
